Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
12.957523,79.943742,46.5,32.878159,199.532038
12.957284,79.943655,46.8,28.198264,208.538554
12.95706,79.94353,48,28.352622,214.300958
12.95665,79.943243,53,55.187649,223.626122
12.956331,79.942931,53.2,49.002969,230.460863
12.956187,79.942752,53.5,25.152267,235.35721
12.956053,79.942553,53.6,26.211441,240.984616
12.955913,79.942294,53.7,32.094535,244.994787
12.955798,79.942041,54.2,30.25167,252.184313
12.955684,79.941677,56,41.43143,259.376451
12.955667,79.941584,53,10.253633,260.809124
12.955184,79.938521,51.7,336.237296,264.154422
12.955095,79.937629,51.6,97.166469,267.275941
12.95501,79.935796,50.8,198.857047,263.136605
12.95497,79.935455,50.8,37.219056,254.740784
12.954882,79.935124,51.5,37.179468,248.557022
12.954691,79.934625,52,58.095258,244.891287
12.954575,79.934371,51.7,30.397052,238.927495
12.9544,79.934073,51.5,37.70248,232.317705
12.953919,79.933434,50.3,87.495833,235.682312
12.953609,79.932968,50.2,61.141433,233.737738
12.953273,79.932498,49.6,63.165801,230.778839
12.952542,79.931579,49.2,128.548669,233.870749
12.952187,79.93108,49.1,66.949726,235.803844
12.950946,79.929206,50,245.525467,234.756221
12.950475,79.928522,50.5,90.758374,231.893691
12.950115,79.928051,50,64.865768,232.64142
12.949371,79.927051,47,136.335902,232.862874
12.948923,79.926444,47.3,82.51319,230.007127
12.948327,79.925715,47.8,103.116315,223.735435
12.94734,79.924746,47.7,151.893647,222.511018
12.946532,79.923986,47,121.882512,222.826623
12.946389,79.92385,47,21.680618,222.877484
12.94586,79.923346,47.3,80.269147,227.191057
12.945173,79.922585,47.5,112.412829,230.097122
12.944574,79.92185,47.5,103.829891,231.965821
12.943034,79.91983,49,277.926608,231.87655
12.939427,79.915114,56,649.664302,226.80282
12.938133,79.9137,57,210.202269,226.698473
12.937964,79.913516,57,27.399973,226.805414
12.935874,79.911232,55,339.523284,225.571751
12.934975,79.910291,55,142.802623,227.138219
12.934085,79.909307,53.9,145.484581,232.913535
12.933682,79.90876,53.6,74.311839,242.650358
12.933437,79.908274,54,59.298135,248.544654
12.933306,79.907932,55.8,39.823583,255.525275
12.933188,79.907463,55.4,52.493709,264.418992
12.93315,79.907064,56,43.447227,264.44818
12.933114,79.906684,56,41.376263,277.816541
12.933289,79.905376,56,143.082704,278.539269
12.933373,79.904802,57,62.904022,275.449367
12.933463,79.903834,58,105.382289,275.123058
12.933472,79.903731,58,11.207291,263.631132
12.933446,79.903492,58,26.062231,262.410058
